id,p2p_id,sim_id,group,random_id,score
9745,b7a6129b-4897-45e7-ae29-439603f9736d,202,group2,2750,174
9747,0be480d9-78c0-481b-ace4-09230ce6e569,202,group1,9810,55
9744,9c231d69-288d-4054-b8ac-b3976bbcd3d7,202,group2,6293,133
9742,fd876408-76ac-4731-9d5a-43f8a348c4ad,202,,6429,0
9755,2be03d55-441f-4958-9793-c93c90fd8806,202,group2,1856,162
9748,e54d6694-a312-479e-8fe9-3305bd69bbc9,202,group2,4324,213
9743,a84ea9fc-0f0d-44e8-b144-da0a67c39113,202,group2,8409,23
9750,a8cda060-3bf7-44fc-949e-89d6c890cf6f,202,group1,2508,85
9751,37ba28cf-34e3-49b9-8898-12011998cc3b,202,group2,1120,75
9753,81f02da6-fba0-4f5b-ae92-4489ed82e257,202,group1,9611,51
9752,b8c964ea-49a9-49ad-bc44-5990fb7ba0ae,202,group2,9472,77
9746,b5bcaccd-e35a-4a3b-ab6c-16f4b2ebe189,202,group1,2193,63
9749,699ff4b0-45e6-466a-a648-38b3d2562697,202,group1,2061,212
9756,20c78ad4-289b-486d-9175-59a4256feb27,202,group2,8859,0
9754,56cf6e74-8520-423e-8c3f-7075f572280e,202,group1,9679,80
9839,ca580f99-2540-4375-a972-72ab3599e464,202,group2,8864,79
9772,b434f9c1-e396-4be0-bd6c-652aa4b4d80e,202,group2,949,109
9799,6b5a8ff7-d481-4d25-8f1a-b2dace52b061,202,group2,7102,34
9809,8d36f5c7-80d9-47d5-8f32-d55840fa18b9,202,group1,1332,79
9771,6c0f6103-5ce7-4498-92e6-2a412d16afd9,202,group2,6931,178
9786,090db31a-9bc9-4dfb-ba61-44ec73b7d0a0,202,group2,8430,34
9810,dcb67e5d-b0b7-48ba-88f2-ff546d74f8f2,202,group2,5391,97
9802,bad0cbd9-6dfe-46bb-aca7-cb036684abb6,202,group1,2928,58
9762,23edf0cb-e7a7-4930-9cf2-81473987b849,202,group2,254,0
9785,9be4e4c7-03c8-41aa-a03c-19eb669c142f,202,group1,7588,0
9757,7b5ca1bc-a8c7-4787-b57e-f51d31846d67,202,group1,266,157
9806,2c0e73ae-5096-45ed-aea3-8253b9f03b85,202,,1974,42
9822,5a171ca4-74f4-428a-ae95-54e049f176a3,202,group2,7032,94
9764,e66f3e2a-5152-4db1-8cbf-8c58e460e812,202,group2,5980,56
9834,53fbaf69-58d4-46cb-aa4f-172e91e1ef0b,202,group1,6526,56
9765,8dfd7fbf-327a-4d40-8636-368a500e2c1a,202,group2,3300,0
9808,8b77e09b-742e-4d49-99be-39d837060ad3,202,group1,4029,87
9777,346b5ac2-bba8-43eb-ad05-a2f8cfe71643,202,group1,7646,85
9819,91bec380-ec89-49aa-8212-af0c2fcec8b3,202,group1,3764,17
9782,f385f3eb-b6e2-4190-842f-dfb0ff5bf2b2,202,group2,5118,195
9795,7bbf5a74-2697-44e3-a64d-af621c6b608b,202,group2,6234,196
9831,da102c38-7930-49af-b59c-c2449eaf4758,202,group1,9638,90
9779,98b72436-6169-4aaf-9962-8553024e0ac5,202,group2,2371,81
9828,14f06e72-6ad5-4693-a1b0-175e5948a021,202,group1,317,0
9770,9a02696f-b41e-4e74-98b0-ffb5ce32f32f,202,group1,4211,0
9792,a804b32f-4ef6-4537-ac37-219a8433183b,202,group1,2354,33
9835,33a77533-d907-4a37-afa8-8cf39cd9d861,202,group2,6102,134
9798,3dcbf1ec-b23d-4e8a-86dc-a6e2d48aa01a,202,group2,2815,0
9760,6e316bf1-e453-4f87-844d-b00062b7dfd6,202,group2,2669,252
9781,8a5bca9f-9122-4767-b43e-ae1c2dc7a18b,202,group2,4743,6
9790,0425a0fd-2a99-4c3a-a278-691d187e3c48,202,,884,0
9793,d10e59a1-50d4-456f-a68e-947dae9bf22e,202,group2,9607,51
9823,83f1fa2f-f697-46b0-acb1-1dd253f8fda4,202,group1,1315,103
9761,348abaa1-24b1-4343-a10e-c1119bc429a2,202,group2,4270,150
9776,13861762-4596-4bba-8d85-0bcea0534b97,202,group2,6836,0
9768,ca8249e2-b8f7-4d19-983d-3fba67750192,202,group2,5939,34
9783,f17564f6-a803-423d-b96a-7e98b17a9e11,202,group1,361,0
9778,3bd5f82e-26a2-4a5f-9a59-c4abe4819a42,202,group2,1514,0
9832,4cbb02ed-36eb-4536-9a39-144f22675f39,202,group1,9126,10
9759,f5780ee6-7cdc-47da-9499-450145d57c27,202,group1,8176,0
9788,dc4dcacd-326b-4198-89bc-72079713af86,202,group2,4982,104
9767,f64976c4-9d5d-49df-9c65-3ed57aff008c,202,,1144,115
9803,5040e10c-612a-4881-b48c-6fba167547c5,202,group1,6273,10
9815,34f4aa97-898c-4fd4-817c-155b9ee3c0b6,202,group1,3380,10
9769,6dc8b22c-f6d4-4097-a8db-f4ce1e1b8014,202,group1,5612,105
9791,8a9dfe31-781f-4b03-872b-26385b5c3ff7,202,group2,8333,39
9796,ecfc3383-4202-4d06-8e5e-7a0c2a8dc46d,202,group2,8961,0
9780,7aa71c6f-6408-4618-bcf5-d3dea6b20788,202,group1,6151,124
9763,2c5d1e78-cc2f-4c2d-98af-21788da88295,202,group2,650,136
9807,e1a9094a-368f-4f4b-a80a-59151e21d587,202,,2817,0
9820,b7880f80-f5cb-4279-9a59-3a7821d2c75f,202,group1,3123,0
9800,baecc3ce-9d4d-4f84-941b-7b1341f04187,202,group1,6166,0
9773,7001fd8b-cdd8-4410-92e4-c75cc6e83af0,202,group1,5155,35
9794,9926980b-07d7-47fc-aeed-88c483a476a0,202,group2,566,34
9801,7e682e82-62b3-468f-a932-2e61e912aae6,202,group1,6795,57
9838,a2e529f7-f333-4ef0-8129-539d1ee53ca5,202,group2,2807,172
9766,f7244c06-383a-413d-87b2-d323132372da,202,group1,2300,76
9805,bd378e61-65d1-43c5-acb3-a2e944b1a3b1,202,group2,3735,4
9814,a049e6c7-a953-4223-9964-04792378541e,202,group2,3329,22
9836,4be8c2a5-313e-4769-825f-cbe69a7e71ee,202,,7179,61
9821,01c90a9f-7fca-4ece-8f84-96620244155d,202,group2,1632,0
9789,dc59119a-029a-4299-a08a-097f6cef1bb9,202,group1,5364,101
9816,53a8e886-64ca-4e4d-943e-e6057df9e70e,202,group2,3733,0
9827,993b307d-362e-4562-adf4-56be0880d342,202,group1,2904,89
9826,f1c42f3b-b029-4d3c-aea3-46020a09b648,202,group1,4799,0
9758,3a4e011b-4c35-4391-944d-340e02c2e7b4,202,group1,1035,53
