id,created_at,survey_id,sim_id,user_id,question_id,value
32,2025-11-16 14:02:43.779226+00,3,202,9959,35,b
33,2025-11-16 14:02:43.783998+00,3,202,9959,36,d
34,2025-11-16 14:02:43.787702+00,3,202,9959,37,c
35,2025-11-16 14:02:43.791186+00,3,202,9959,38,f
36,2025-11-16 14:02:43.794639+00,3,202,9959,39,a
37,2025-11-16 14:02:43.797974+00,3,202,9959,40,a
38,2025-11-16 14:02:44.01766+00,3,202,9915,35,b
39,2025-11-16 14:02:44.021252+00,3,202,9915,36,c
40,2025-11-16 14:02:44.024402+00,3,202,9915,37,c
41,2025-11-16 14:02:44.027571+00,3,202,9915,38,c
42,2025-11-16 14:02:44.031493+00,3,202,9915,39,a
43,2025-11-16 14:02:44.034676+00,3,202,9915,40,a
44,2025-11-16 14:02:44.787318+00,3,202,9884,35,b
45,2025-11-16 14:02:44.790744+00,3,202,9884,36,c
46,2025-11-16 14:02:44.794491+00,3,202,9884,37,f
47,2025-11-16 14:02:44.798311+00,3,202,9884,38,d
48,2025-11-16 14:02:44.801984+00,3,202,9884,39,b
49,2025-11-16 14:02:44.805269+00,3,202,9884,40,a
50,2025-11-16 14:02:55.1125+00,3,202,9974,35,b
51,2025-11-16 14:02:55.115874+00,3,202,9974,36,a
52,2025-11-16 14:02:55.118718+00,3,202,9974,37,f
53,2025-11-16 14:02:55.12179+00,3,202,9974,38,f
54,2025-11-16 14:02:55.124898+00,3,202,9974,39,a
55,2025-11-16 14:02:55.127827+00,3,202,9974,40,a
56,2025-11-16 14:03:03.717642+00,3,202,9835,35,c
57,2025-11-16 14:03:03.722028+00,3,202,9835,36,d
58,2025-11-16 14:03:03.726173+00,3,202,9835,37,e
59,2025-11-16 14:03:03.729793+00,3,202,9835,38,f
60,2025-11-16 14:03:03.733573+00,3,202,9835,39,b
61,2025-11-16 14:03:03.737336+00,3,202,9835,40,a
62,2025-11-16 14:03:06.342311+00,3,202,9943,35,a
63,2025-11-16 14:03:06.345385+00,3,202,9943,36,c
64,2025-11-16 14:03:06.348279+00,3,202,9943,37,f
65,2025-11-16 14:03:06.352115+00,3,202,9943,38,d
66,2025-11-16 14:03:06.354978+00,3,202,9943,39,b
67,2025-11-16 14:03:06.357921+00,3,202,9943,40,a
68,2025-11-16 14:03:17.115148+00,3,202,9964,35,c
69,2025-11-16 14:03:17.119009+00,3,202,9964,36,c
70,2025-11-16 14:03:17.122662+00,3,202,9964,37,d
71,2025-11-16 14:03:17.126043+00,3,202,9964,38,e
72,2025-11-16 14:03:17.129543+00,3,202,9964,39,a
73,2025-11-16 14:03:17.132872+00,3,202,9964,40,a
74,2025-11-16 14:03:37.694704+00,3,202,9745,35,f
75,2025-11-16 14:03:37.6983+00,3,202,9745,36,f
76,2025-11-16 14:03:37.701825+00,3,202,9745,37,e
77,2025-11-16 14:03:37.705307+00,3,202,9745,38,f
78,2025-11-16 14:03:37.708683+00,3,202,9745,39,b
79,2025-11-16 14:03:37.712268+00,3,202,9745,40,a
