time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-24 00:00:00+00:00,4,1,58,3
2024-02-25 00:00:00+00:00,2,1,20,1
2024-02-26 00:00:00+00:00,14,1,298,7
2024-02-27 00:00:00+00:00,79,8,462,12
2024-02-28 00:00:00+00:00,26,5,318,8
2024-02-29 00:00:00+00:00,19,2,273,8
2024-03-01 00:00:00+00:00,6,1,248,6
2024-03-02 00:00:00+00:00,25,2,173,4
2024-03-03 00:00:00+00:00,0,0,9,2
2024-03-04 00:00:00+00:00,1,1,26,5
2024-03-05 00:00:00+00:00,1,1,56,6
2024-03-06 00:00:00+00:00,4,1,200,6
2024-03-07 00:00:00+00:00,2,1,153,7
2024-03-08 00:00:00+00:00,44,29,471,11
2024-03-09 00:00:00+00:00,9,8,76,6
2024-03-10 00:00:00+00:00,10,8,47,2
2024-03-11 00:00:00+00:00,6,6,414,3
